,BrandName,Details,Sizes,MRP,SellPrice,Discount,Category
0,life,solid cotton blend collar neck womens a-line dress - indigo,"Size:Large,Medium,Small,X-Large,X-Small",1699,849,50% off,Westernwear-Women
1,only,polyester peter pan collar womens blouson dress - yellow,"Size:34,36,38,40",3499,2449,30% off,Westernwear-Women
2,fratini,solid polyester blend wide neck womens regular top - off white,"Size:Large,X-Large,XX-Large",1199,599,50% off,Westernwear-Women
3,zink london,stripes polyester sweetheart neck womens dress - black,"Size:Large,Medium,Small,X-Large",2299,1379,40% off,Westernwear-Women
4,life,regular fit regular length denim womens jeans - stone,"Size:26,28,30,32,34,36",1699,849,50% off,Westernwear-Women
5,kraus,wide ankle length cotton womens jeans - light blue,"Size:26,28,30,32,34",1795,1615,10% off,Westernwear-Women
6,life,printed cotton blend collared womens regular dress - white,"Size:Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear-Women
7,fratini,embroidered wide neck polyester womens regular top - blush,Size:XX-Large,1299,649,50% off,Westernwear-Women
8,rare,floral polyester v neck womens flared dress - navy,"Size:Large,Medium,Small,X-Large",2099,839,60% off,Westernwear-Women
9,rare,checks cotton boat neck womens regular top - black,"Size:Medium,Small,X-Large",1499,599,60% off,Westernwear-Women
10,life,solid square neck cotton womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",1499,749,50% off,Westernwear-Women
11,life,regular fit regular length denim womens jeans - indigo,"Size:26,28,30,32,34,36",999,499,50% off,Westernwear-Women
12,life,printed blended round neck womens shift dress - orange,"Size:Large,Medium,Small,X-Large,X-Small",1499,749,50% off,Westernwear-Women
13,life,printed jersey round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",599,299,50% off,Westernwear-Women
14,life,printed crepe square neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear-Women
15,life,solid cotton collar neck womens shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",1199,599,50% off,Westernwear-Women
16,life,solid cotton lycra round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Small",599,299,50% off,Westernwear-Women
17,life,printed cotton collar neck womens shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear-Women
18,van heusen,solid cotton v neck womens formal shirt - maroon,"Size:Large,Small,X-Small",1999,799,60% off,Westernwear-Women
19,life,regular fit regular length denim womens jeans - mid stone,"Size:26,28,30,32,34,36",1999,999,50% off,Westernwear-Women
20,fratini,solid round neck viscose womens regular dress - olive,"Size:Large,Medium,Small,X-Large,XX-Large",1499,749,50% off,Westernwear-Women
21,life,solid wide neck viscose womens regular top - blue,"Size:Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear-Women
23,stop,printed regular neck cotton womens formal shirt - ecru,"Size:Large,Medium,Small,X-Large,XX-Large",799,399,50% off,Westernwear-Women
24,zink london,floral viscose sweetheart neck womens dress - green,"Size:Medium,Small,X-Small,XX-Large",2799,1679,40% off,Westernwear-Women
25,life,printed viscose v neck womens regular woven top - off white,"Size:Large,Medium,Small,X-Large,X-Small",1199,599,50% off,Westernwear-Women
26,life,printed cotton blend v neck womens top - pink,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear-Women
27,zink z,solid cotton blend v neck womens top - maroon,"Size:Large,Medium,Small,X-Large,X-Small",1698,1299,No Discount,Westernwear-Women
28,stop,printed regular neck cotton womens formal shirt - black,"Size:Large,Medium,Small,X-Large,XX-Large",899,449,50% off,Westernwear-Women
29,life,printed cotton blend round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear-Women
30,life,embroidered viscose square neck womens regular top - white,"Size:Large,Medium,Small,X-Large,X-Small",1199,599,50% off,Westernwear-Women
31,life,regular fit regular length denim womens jeans - indigo,"Size:26,28,30,32,34,36,Medium",1699,849,50% off,Westernwear-Women
32,life,printed cotton lycra round neck womens t-shirt - pink mix,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear-Women
33,cover story,solid round neck cotton womens regular dress - dark brown,"Size:Large,Medium,Small,X-Large,X-Small",2890,1445,50% off,Westernwear-Women
34,infuse,printed square neck rayon womens dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",1999,999,50% off,Westernwear-Women
35,fratini,printed polyester blend round neck womens a-line dress - white,"Size:Large,Medium,Small,X-Large,XX-Large",1698,1799,No Discount,Westernwear-Women
36,allen solly,solid rayon regular fit womens trousers - black,"Size:26,28,30,32,34,36",1299,1039,20% off,Westernwear-Women
37,infuse,regular fit regular length cotton womens loungewear short set - pink,"Size:Large,Medium,Small,X-Small",899,359,60% off,Westernwear-Women
38,van heusen,solid polyester collar neck womens shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",1699,999,41% off,Westernwear-Women
39,life,solid viscose round neck womens regular top - sage,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear-Women
40,cover story,printed polyester round neck womens dress - black,"Size:Medium,Small,X-Large,X-Small",4490,3143,30% off,Westernwear-Women
41,life,printed collar neck polyester womens regular top - navy,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear-Women
42,zink london,lace polyester round neck womens dress - green,"Size:Large,Medium,Small,X-Large",3299,1979,40% off,Westernwear-Women
43,stop,solid viscose v-neck womens regular top - mustard,"Size:Large,Medium,Small,XX-Large",999,499,50% off,Westernwear-Women
44,fratini,printed v-neck polyester womens regular dress - natural,"Size:Large,Medium,Small,X-Large,XX-Large",1899,949,50% off,Westernwear-Women
45,rare,floral polyester off shoulder womens flared dress - black,"Size:Large,Medium,Small,X-Large",1899,854,55% off,Westernwear-Women
46,life,printed viscose wide neck womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear-Women
47,altlife,printed skinny fit cotton blend womens active wear track pants - grey,"Size:28,30,32,34,36",999,499,50% off,Westernwear-Women
48,stop,printed regular neck cotton womens formal shirt - blue denim,"Size:Medium,Small,X-Small,XX-Large",899,449,50% off,Westernwear-Women
49,life,regular fit regular length denim womens jeans - olive,"Size:26,28,30,32,34,36",1999,999,50% off,Westernwear-Women
50,rare,solid polyester round neck womens a-line dress - navy,"Size:Large,Medium,Small,X-Large",1499,674,55% off,Westernwear-Women
51,zink london,solid polyester v neck womens top - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1399,839,40% off,Westernwear-Women
52,life,printed cotton blend collar neck womens t-shirt - red,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear-Women
53,madame,printed polyester blend square neck womens dress - green,"Size:Large,Medium,Small,X-Large,XX-Large",2699,1619,40% off,Westernwear-Women
54,zink london,solid polyester scoop neck womens bodycon dress - baby pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2499,1499,40% off,Westernwear-Women
55,rare,floral polyester v neck womens flared dress - blue,"Size:Large,Medium,Small,X-Large",2099,944,55% off,Westernwear-Women
56,fratini,solid round neck viscose womens regular dress - black,"Size:Large,Medium,Small,X-Large,XX-Large",1499,749,50% off,Westernwear-Women
57,iti,solid georgette collar neck womens top - olive,"Size:Small,X-Small",1499,399,73% off,Westernwear-Women
58,rare,solid comfort fit polyester womens casual wear trousers - black,"Size:Large,Medium,Small,X-Large",1599,719,55% off,Westernwear-Women
59,levis,graphic cotton round neck womens t-shirt - brown,"Size:Large,Medium,Small,X-Small",1698,1199,No Discount,Westernwear-Women
60,cover story,regular fit polyester womens casual trousers - pink,"Size:26,28,30,32,34",2590,1813,30% off,Westernwear-Women
61,zink london,printed v neck polyester womens a-line dress - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2299,1149,50% off,Westernwear-Women
62,and,polka dots boat neck viscose womens regular dresses - pink,"Size:8,10,12,14,16,18",2899,2319,20% off,Westernwear-Women
63,van heusen,solid cotton v neck womens formal shirt - green,"Size:Large,Medium,Small",1999,799,60% off,Westernwear-Women
64,life,printed cotton lycra round neck womens t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear-Women
65,life,solid cotton blend round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large",899,449,50% off,Westernwear-Women
66,faballey,printed georgette round neck womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",2800,2240,20% off,Westernwear-Women
67,levis,tapered fit regular length cotton womens jeans - dk indigo,"Size:26,28,30,32,34",1698,3799,No Discount,Westernwear-Women
68,rare,floral polyester v neck womens flared dress - natural,"Size:Large,Medium,Small",2099,944,55% off,Westernwear-Women
69,rare,solid polyester round neck womens a-line dress - red,"Size:Large,Medium,Small,X-Large",1999,799,60% off,Westernwear-Women
70,rare,solid georgette round neck womens top - maroon,"Size:Large,Small,X-Large",1399,559,60% off,Westernwear-Women
71,stop,printed viscose regular neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",999,499,50% off,Westernwear-Women
72,fratini,printed viscose collar neck womens a-line dress - black,"Size:Large,Medium,Small,X-Large,XX-Large",1599,799,50% off,Westernwear-Women
73,life,solid cotton lycra round neck womens t-shirt - off white,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear-Women
74,life,printed jersey round neck womens t-shirt - lilac,"Size:Large,Medium,Small,X-Large,X-Small",599,299,50% off,Westernwear-Women
75,only,checks cotton womens top - white,"Size:34,36,38,40,42",1999,1399,30% off,Westernwear-Women
76,life,regular fit regular length cotton lycra womens jeans - white,"Size:26,28,30,32,34,36",1299,649,50% off,Westernwear-Women
77,van heusen,solid polyester collar neck womens top - black,"Size:Small,X-Small",1699,999,41% off,Westernwear-Women
78,fratini,solid polyester round neck womens a-line dress - aubergine,"Size:Large,Medium,Small,X-Large,XX-Large",1599,799,50% off,Westernwear-Women
79,life,printed cotton lycra round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear-Women
80,fratini,solid round neck viscose womens regular dress - tan,"Size:Large,Medium,Small,X-Large,XX-Large",1499,749,50% off,Westernwear-Women
81,kraus,super skinny fit ankle length cotton blend womens jeans - blue,"Size:28,30,32,34,36,38",1995,1396,30% off,Westernwear-Women
82,life,checks cotton blend collar neck womens regular top - sage,"Size:Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear-Women
83,life,embroidered cotton blend round neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small",1299,649,50% off,Westernwear-Women
84,rare,solid polyester blend boat neck womens flared dress - black,"Size:Large,Medium,Small,X-Large",1699,764,55% off,Westernwear-Women
85,and,solid polyester square neck womens flared dress - sage,"Size:10,12,14,16,18",2699,2159,20% off,Westernwear-Women
86,life,solid cotton blend round neck womens t-shirt - natural,"Size:Large,Medium,X-Large,X-Small",899,449,50% off,Westernwear-Women
87,kraus,wide leg fit ankle length cotton womens jeans - blue,"Size:28,30,32",1695,1525,10% off,Westernwear-Women
88,life,printed jersey round neck womens t-shirt - red,"Size:Large,Medium,Small,X-Small",699,349,50% off,Westernwear-Women
89,fratini,sanya malhotra regular fit regular length cotton linen womens culottes - olive,"Size:26,28,30,32,34,36",1698,1299,No Discount,Westernwear-Women
90,fratini,solid square neck polyester womens woven top - natural,"Size:Large,Medium,X-Large,XX-Large",999,499,50% off,Westernwear-Women
91,fratini,solid v-neck tencel womens a-line dress - light blue,"Size:Large,Small",1699,849,50% off,Westernwear-Women
92,zink london,printed cotton round neck womens t-shirt - brown,Size:X-Large,1299,399,69% off,Westernwear-Women
93,life,regular fit regular length cotton lycra womens jeans - mid stone,"Size:26,28,30,32",999,499,50% off,Westernwear-Women
94,zink london,textured polyester round neck womens straight top - natural,"Size:Large,Small,X-Small",1399,839,40% off,Westernwear-Women
95,allen solly,printed stylized polyester womens fit and flare dress - grey,"Size:Large,Medium,Small,X-Large",2499,1499,40% off,Westernwear-Women
96,stop,solid polyester regular neck womens top - sage,"Size:Large,Medium,Small,X-Large,XX-Large",1299,649,50% off,Westernwear-Women
97,only,lace cotton collar neck womens top - red,"Size:34,36,38,40,42",2499,1499,40% off,Westernwear-Women
98,fratini,regular fit regular length cotton blend womens jeans - white,"Size:28,30,32,34,36",1299,649,50% off,Westernwear-Women
99,fratini,printed square neck polyester womens regular dress - pink,"Size:Large,Medium,Small,X-Large,XX-Large",1699,849,50% off,Westernwear-Women
100,van heusen,solid polyester v neck womens shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",1699,999,41% off,Westernwear-Women
101,only,self design viscose square neck womens top - white,"Size:34,36,38,40,42",2299,1379,40% off,Westernwear-Women
102,life,printed blended round neck womens shift dress - navy,"Size:Large,Medium,Small,X-Large,X-Small",1499,749,50% off,Westernwear-Women
103,zink london,solid collar neck polyester womens casual shirt - green,"Size:Medium,Small,XX-Large",1699,849,50% off,Westernwear-Women
104,life,printed cotton lycra round neck womens t-shirt - sage,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear-Women
105,faballey,embroidered cotton square neck womens regular dress - white,"Size:Large,Medium,Small,X-Large,X-Small",2600,2080,20% off,Westernwear-Women
106,life,printed cotton blend round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear-Women
107,infuse,floral rayon v neck womens strappy dress - pista green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499,749,50% off,Westernwear-Women
108,kraus,baggy fit ankle length cotton womens jeans - light blue,"Size:28,30,32,34",1595,1116,30% off,Westernwear-Women
109,life,printed cotton lycra round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear-Women
110,fratini,solid polyester blend round neck womens a-line dress - pink,"Size:Large,Medium,Small,X-Large,XX-Large",1899,949,50% off,Westernwear-Women
111,madame,solid polyester v neck womens top - blush,"Size:Large,Medium,Small,X-Large,XX-Large",1699,1189,30% off,Westernwear-Women
112,kraus,super skinny fit ankle length cotton blend womens jeans - dark blue,"Size:28,30,32,34,36,38",1895,947,50% off,Westernwear-Women
113,kraus,skinny fit full length cotton blend womens jeans - navy,"Size:28,30,32,36",1895,947,50% off,Westernwear-Women
114,stop,printed regular neck cotton womens formal shirt - white,"Size:Large,Medium,Small,X-Large,XX-Large",899,449,50% off,Westernwear-Women
115,life,regular fit regular length denim womens jeans - pink,"Size:26,28,30,32,34,36",1999,999,50% off,Westernwear-Women
116,zink london,printed cotton collar neck womens dress - blue,"Size:Large,Medium,Small,X-Small,XX-Large",2899,1739,40% off,Westernwear-Women
117,life,skinny fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34,36",999,499,50% off,Westernwear-Women
118,stop,solid regular neck cotton blend womens formal shirt - powder blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",899,449,50% off,Westernwear-Women
119,altlife,solid polyester blend ankle length womens tights - misty lilac,"Size:28,30,32,34,36",1299,649,50% off,Westernwear-Women
120,life,solid cotton wide neck womens a-line dress - powder blue,"Size:Large,Medium,Small,X-Large,X-Small",1699,849,50% off,Westernwear-Women
121,allen solly,printed v-neck viscose womens fit and flare dress - black,"Size:Large,Medium,Small,X-Large,X-Small",2499,1499,40% off,Westernwear-Women
122,stop,solid regular fit polyester womens formal pants - black,"Size:28,30,34,36",1699,849,50% off,Westernwear-Women
123,and,solid polyester v neck womens regular dress - wine,"Size:8,18",2899,2319,20% off,Westernwear-Women
124,rare,floral polyester off shoulder womens regular top - blue,"Size:Large,Small",999,499,50% off,Westernwear-Women
125,zink london,stripes cotton round neck womens straight top - multi,"Size:Large,Medium,Small,X-Large,X-Small",1399,699,50% off,Westernwear-Women
126,life,fit above knee denim womens casual skirt - black,"Size:26,28,30,32,34,36",1299,649,50% off,Westernwear-Women
127,fratini,printed polyester round neck womens a-line dress - yellow,"Size:Error Size,Large,Medium,Small,X-Large,XX-Large",1999,999,50% off,Westernwear-Women
128,rare,floral polyester round neck womens flared dress - black,"Size:Large,Medium,Small,X-Large",1999,899,55% off,Westernwear-Women
129,latin quarters,solid polyester womens regular blouse - wine,"Size:S,M,L,XL",1899,949,50% off,Westernwear-Women
130,fratini,printed polyester blend round neck womens regular top - yellow,"Size:Medium,Small",999,499,50% off,Westernwear-Women
131,zink london,embroidered viscose mandarin womens top - blue,"Size:Large,Medium,Small,X-Small,XX-Large",2199,1319,40% off,Westernwear-Women
132,stop,solid regular neck cotton stretch womens formal shirt - bottle green,"Size:Large,Small,X-Large,XX-Large",999,499,50% off,Westernwear-Women
133,rare,half sleeves regular fit womens casual dress - navy,"Size:Large,Medium,Small,X-Large",1999,899,55% off,Westernwear-Women
134,latin quarters,printed polyester womens regular dress - red,"Size:S,M,L,XL,XX-Large",2799,1959,30% off,Westernwear-Women
135,zink london,solid polyester round neck womens top - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499,899,40% off,Westernwear-Women
136,stop,solid collar neck cotton blend womens regular top - peach,"Size:Large,X-Large,XX-Large",999,499,50% off,Westernwear-Women
137,cover story,solid viscose collar neck womens top - peach,"Size:Small,X-Small",2290,1603,30% off,Westernwear-Women
138,stop,printed regular neck cotton womens formal shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",799,399,50% off,Westernwear-Women
139,zink london,printed cotton round neck womens t-shirt - green,"Size:Large,Medium,Small,X-Large,X-Small",799,479,40% off,Westernwear-Women
140,zink london,floral rayon collar neck womens casual shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1599,799,50% off,Westernwear-Women
141,rare,floral georgette round neck womens flared dress - grey,"Size:Large,Medium,Small",1899,854,55% off,Westernwear-Women
142,van heusen,super slim fit regular cotton womens jeans - navy,"Size:28,32,34",2199,999,55% off,Westernwear-Women
143,rare,solid polyester blend round neck womens a-line dress - black,"Size:Small,X-Large",1699,764,55% off,Westernwear-Women
144,life,striped cotton blend collar neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",799,399,50% off,Westernwear-Women
145,van heusen,textured polyester blend regular fit womens trousers - maroon,"Size:26,34",2199,999,55% off,Westernwear-Women
146,madame,solid cotton round neck womens regular top - off white,"Size:Large,Medium,Small,X-Large",1199,599,50% off,Westernwear-Women
147,fratini,printed viscose blend round neck womens t-shirt - natural,"Size:Large,Medium,Small,X-Large,XX-Large",1698,799,No Discount,Westernwear-Women
148,life,regular fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34,36",1299,649,50% off,Westernwear-Women
149,van heusen,solid polyester collar neck womens formal shirt - off white,Size:X-Small,1699,999,41% off,Westernwear-Women
150,rare,floral polyester round neck womens regular top - multi,"Size:Large,Medium,Small,X-Large",1299,584,55% off,Westernwear-Women
151,life,solid polyester blend round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear-Women
152,only,stripes polyester round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",1799,1079,40% off,Westernwear-Women
153,infuse,graphic cotton round neck womens regular fit t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small",499,199,60% off,Westernwear-Women
154,and,solid boat neck polyester womens straight dresses - multi,"Size:6,8,10,12,14,16",2499,1999,20% off,Westernwear-Women
